state,district,month,age_0_5,age_5_17,age_18_plus,total
Maharashtra,Chandrapur,2025-06,0,6166,18584,24750
Maharashtra,Chandrapur,2025-07,0,5432,12433,17865
Maharashtra,Chandrapur,2025-08,0,2944,8441,11385
Maharashtra,Chandrapur,2025-09,0,9512,13204,22716
Maharashtra,Chandrapur,2025-10,0,4426,27954,32380
Maharashtra,Chandrapur,2025-11,0,11076,29269,40345
Maharashtra,Chandrapur,2025-12,0,8556,12120,20676
Maharashtra,Chandrapur,2026-01,0,766,1448,2214
Maharashtra,Chatrapati Sambhaji Nagar,2025-04,0,53,262,315
Maharashtra,Chatrapati Sambhaji Nagar,2025-05,0,33,283,316
Maharashtra,Chatrapati Sambhaji Nagar,2025-06,0,53,273,326
Maharashtra,Chatrapati Sambhaji Nagar,2025-07,0,54,315,369
Maharashtra,Chatrapati Sambhaji Nagar,2025-08,0,47,177,224
Maharashtra,Chatrapati Sambhaji Nagar,2025-09,0,60,210,270
Maharashtra,Chatrapati Sambhaji Nagar,2025-10,0,51,266,317
Maharashtra,Chatrapati Sambhaji Nagar,2025-11,0,84,284,368
Maharashtra,Chatrapati Sambhaji Nagar,2025-12,0,47,191,238
Maharashtra,Chatrapati Sambhaji Nagar,2026-01,0,8,20,28
Maharashtra,Chhatrapati Sambhajinagar,2025-03,0,15,106,121
Maharashtra,Chhatrapati Sambhajinagar,2025-04,0,30,131,161
Maharashtra,Chhatrapati Sambhajinagar,2025-05,0,269,1557,1826
Maharashtra,Chhatrapati Sambhajinagar,2025-06,0,334,2305,2639
Maharashtra,Chhatrapati Sambhajinagar,2025-07,0,393,2193,2586
Maharashtra,Chhatrapati Sambhajinagar,2025-08,0,128,1189,1317
Maharashtra,Chhatrapati Sambhajinagar,2025-09,0,209,1551,1760
Maharashtra,Chhatrapati Sambhajinagar,2025-10,0,160,1452,1612
Maharashtra,Chhatrapati Sambhajinagar,2025-11,0,252,2052,2304
Maharashtra,Chhatrapati Sambhajinagar,2025-12,0,134,1313,1447
Maharashtra,Chhatrapati Sambhajinagar,2026-01,0,11,38,49
Maharashtra,Dharashiv,2025-04,0,11,34,45
Maharashtra,Dharashiv,2025-05,0,53,460,513
Maharashtra,Dharashiv,2025-06,0,75,852,927
Maharashtra,Dharashiv,2025-07,0,79,762,841
Maharashtra,Dharashiv,2025-08,0,30,337,367
Maharashtra,Dharashiv,2025-09,0,47,515,562
